game_id,season,game_date,team_id,team_display_name,team_home_away,team_score,team_winner,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,opponent_team_id,opponent_team_display_name,opponent_team_score,league
401727577,2025,2025-01-18,2724,Wichita State Shockers,away,58,False,24,62,4,8,249,North Texas Mean Green,80,ncaaw
401727571,2025,2025-01-15,242,Rice Owls,away,53,False,22,58,6,9,249,North Texas Mean Green,61,ncaaw
401727562,2025,2025-01-11,58,South Florida Bulls,away,65,False,19,55,23,29,249,North Texas Mean Green,72,ncaaw
401727557,2025,2025-01-08,2655,Tulane Green Wave,home,65,True,25,63,10,14,249,North Texas Mean Green,62,ncaaw
401727551,2025,2025-01-04,235,Memphis Tigers,home,71,False,26,65,13,19,249,North Texas Mean Green,73,ncaaw
401727526,2025,2025-01-01,202,Tulsa Golden Hurricane,away,78,False,31,72,5,8,249,North Texas Mean Green,84,ncaaw
401727520,2025,2024-12-29,2724,Wichita State Shockers,home,56,False,19,65,9,21,249,North Texas Mean Green,62,ncaaw
401714147,2025,2024-12-21,2130,Chicago State Cougars,away,57,False,23,61,5,6,249,North Texas Mean Green,83,ncaaw
401711577,2025,2024-12-19,2567,SMU Mustangs,away,74,True,25,60,21,28,249,North Texas Mean Green,66,ncaaw
401714141,2025,2024-12-15,2541,Santa Clara Broncos,home,63,True,22,48,15,19,249,North Texas Mean Green,58,ncaaw
401714146,2025,2024-12-07,79,Southern Illinois Salukis,away,54,False,21,52,5,8,249,North Texas Mean Green,87,ncaaw
401714145,2025,2024-12-04,2634,Tennessee State Lady Tigers,away,65,False,23,61,12,18,249,North Texas Mean Green,83,ncaaw
401714140,2025,2024-12-01,167,New Mexico Lobos,home,75,True,28,58,11,14,249,North Texas Mean Green,58,ncaaw
401714139,2025,2024-11-24,248,Houston Cougars,home,53,False,17,56,15,19,249,North Texas Mean Green,69,ncaaw
401714144,2025,2024-11-20,2466,Northwestern State Lady Demons,away,59,False,21,51,8,10,249,North Texas Mean Green,62,ncaaw
401714138,2025,2024-11-16,2000,Abilene Christian Wildcats,home,60,False,24,69,4,7,249,North Texas Mean Green,71,ncaaw
401713605,2025,2024-11-12,2483,Oregon Ducks,home,66,True,27,60,5,9,249,North Texas Mean Green,35,ncaaw
401714143,2025,2024-11-07,2640,Texas Southern Tigers,away,54,False,22,72,6,14,249,North Texas Mean Green,78,ncaaw
401714142,2025,2024-11-04,2016,Alcorn State Lady Braves,away,65,False,28,57,7,11,249,North Texas Mean Green,84,ncaaw
401822990,2026,2025-11-27,2641,Texas Tech Lady Raiders,away,67,True,23,51,12,16,249,North Texas Mean Green,47,ncaaw
401825068,2026,2025-11-26,2608,Saint Mary's Gaels,away,65,False,23,57,10,12,249,North Texas Mean Green,67,ncaaw
401823655,2026,2025-11-22,2567,SMU Mustangs,home,55,False,21,66,8,12,249,North Texas Mean Green,58,ncaaw
401825067,2026,2025-11-19,2000,Abilene Christian Wildcats,away,60,True,17,46,21,30,249,North Texas Mean Green,51,ncaaw
401825066,2026,2025-11-13,2904,Nelson Lions,away,50,False,17,55,8,10,249,North Texas Mean Green,102,ncaaw
401825065,2026,2025-11-07,2755,Grambling Lady Tigers,away,49,False,15,67,16,26,249,North Texas Mean Green,89,ncaaw
401825064,2026,2025-11-03,589,Oklahoma Christian University Eagles,away,36,False,14,44,2,7,249,North Texas Mean Green,106,ncaaw
