athlete_id,first_name,last_name,full_name,display_name,short_name,weight,display_weight,height,display_height,headshot_href,jersey,position_name,position_abbreviation,experience_years,experience_display_value,experience_abbreviation,active,status_name,defensive_blocks,defensive_defensive_rebounds,defensive_steals,defensive_turnover_points,defensive_avg_defensive_rebounds,defensive_avg_blocks,defensive_avg_steals,general_disqualifications,general_flagrant_fouls,general_fouls,general_per,general_ejections,general_technical_fouls,general_rebounds,general_minutes,general_avg_minutes,general_avg_rebounds,general_avg_fouls,general_avg_flagrant_fouls,general_avg_technical_fouls,general_avg_ejections,general_avg_disqualifications,general_assist_turnover_ratio,general_steal_foul_ratio,general_block_foul_ratio,general_avg_team_rebounds,general_total_rebounds,general_total_technical_fouls,general_steal_turnover_ratio,general_games_played,general_games_started,general_double_double,general_triple_double,offensive_assists,offensive_field_goals,offensive_field_goals_attempted,offensive_field_goals_made,offensive_field_goal_pct,offensive_free_throws,offensive_free_throw_pct,offensive_free_throws_attempted,offensive_free_throws_made,offensive_offensive_rebounds,offensive_points,offensive_turnovers,offensive_three_point_field_goals_attempted,offensive_three_point_field_goals_made,offensive_total_turnovers,offensive_points_in_paint,offensive_second_chance_points,offensive_fast_break_points,offensive_avg_field_goals_made,offensive_avg_field_goals_attempted,offensive_avg_three_point_field_goals_made,offensive_avg_three_point_field_goals_attempted,offensive_avg_free_throws_made,offensive_avg_free_throws_attempted,offensive_avg_points,offensive_avg_offensive_rebounds,offensive_avg_assists,offensive_avg_turnovers,offensive_offensive_rebound_pct,offensive_estimated_possessions,offensive_avg_estimated_possessions,offensive_points_per_estimated_possessions,offensive_avg_team_turnovers,offensive_avg_total_turnovers,offensive_three_point_field_goal_pct,offensive_two_point_field_goals_made,offensive_two_point_field_goals_attempted,offensive_avg_two_point_field_goals_made,offensive_avg_two_point_field_goals_attempted,offensive_two_point_field_goal_pct,offensive_shooting_efficiency,offensive_scoring_efficiency,team_id,season,league
5175065,Alex,Cotton,Alex Cotton,Alex Cotton,A. Cotton,200.0,200 lbs,77,"6' 5""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5175065.png,4,Guard,G,3,Junior,JR,True,Active,0,0,1,0,0.0,0.0,0.33333334,0,0,0,15.265,0,0,3,20,6.6666665,1.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0,3,0,1.0,3,0,0,0,1,1.0,2,2,100.0,0.0,0.0,0,0,3,5,1,1,1,1,-1,0,0,0.6666667,0.6666667,0.33333334,0.33333334,0.0,0.0,1.6666666,1.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0,0.333333343267441,100.0,1,1,0.33333334,0.33333334,100.0,1.25,2.5,249,2025,ncaam
5106884,Grayson,Allo,Grayson Allo,Grayson Allo,G. Allo,185.0,185 lbs,77,"6' 5""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106884.png,20,Guard,G,3,Junior,JR,False,Inactive,0,2,0,0,0.4,0.0,0.0,0,0,1,2.659,0,0,2,11,2.2,0.4,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,5,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,249,2025,ncaam
4897523,Matthew,Stone,Matthew Stone,Matthew Stone,M. Stone,200.0,200 lbs,76,"6' 4""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897523.png,23,Guard,G,4,Senior,SR,False,Inactive,0,9,5,0,0.5625,0.0,0.3125,0,0,7,8.376,0,0,10,85,5.3125,0.625,0.4375,0,0.0,0,0.0,5.0,0.71428573,0.0,0,10,0,5.0,16,0,0,0,5,0.285714,7,2,28.571429848671,1.0,100.0,3,3,1,8,1,3,1,1,-1,0,0,0.125,0.4375,0.0625,0.1875,0.1875,0.1875,0.5,0.0625,0.3125,0.0625,0.2,8.2,0.5125,0.9756098,0,0.0625,33.3333343267441,1,4,0.0625,0.25,25.0,0.35714287,1.1428572,249,2025,ncaam
5106742,Dylan,Arnett,Dylan Arnett,Dylan Arnett,D. Arnett,240.0,240 lbs,81,"6' 9""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106742.png,12,Forward,F,4,Senior,SR,True,Active,10,14,4,0,2.8,2.0,0.8,0,0,12,13.17,0,0,24,121,24.2,4.8,2.4,0,0.0,0,0.0,1.0,0.33333334,0.8333333,0,24,0,0.6666667,5,5,0,0,6,0.475,40,19,47.4999994039536,0.25,25.0,8,2,10,40,6,0,0,6,-1,0,0,3.8,8.0,0.0,0.0,0.4,1.6,8.0,2.0,1.2,1.2,0.47619048,39.2,7.84,1.0204082,0,1.20000004768372,0.0,19,40,3.8,8.0,47.4999994039536,0.475,1.0,249,2026,ncaam
5241608,Je'Shawn,Stevenson,Je'Shawn Stevenson,Je'Shawn Stevenson,J. Stevenson,200.0,200 lbs,74,"6' 2""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241608.png,4,Guard,G,2,Sophomore,SO,True,Active,1,13,10,0,2.6,0.2,2.0,0,0,7,13.594,0,0,15,144,28.8,3.0,1.4,0,0.0,0,0.0,0.5714286,1.4285715,0.14285715,0,15,0,1.4285715,5,5,0,0,4,0.403509,57,23,40.350878238678,0.85,85.0000023841858,20,17,2,74,7,31,11,7,-1,0,0,4.6,11.4,2.2,6.2,3.4,4.0,14.8,0.4,0.8,1.4,0.05882353,70.0,14.0,1.0571429,0,1.39999997615814,35.4838699102402,12,26,2.4,5.2,46.1538463830948,0.5,1.2982457,249,2026,ncaam
5177691,David,Terrell Jr.,David Terrell Jr.,David Terrell Jr.,D. Terrell Jr.,185.0,185 lbs,76,"6' 4""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5177691.png,5,Guard,G,3,Junior,JR,True,Active,0,11,6,0,2.2,0.0,1.2,0,0,15,19.008,0,0,14,129,25.8,2.8,3.0,0,0.0,0,0.0,1.8333334,0.4,0.0,0,14,0,0.5,5,5,0,0,22,0.5,30,15,50.0,0.826087,82.6086938381195,23,19,3,53,12,8,4,12,-1,0,0,3.0,6.0,0.8,1.6,3.8,4.6,10.6,0.6,4.4,2.4,0.2,48.2,9.64,1.099585,0,2.40000009536743,50.0,11,22,2.2,4.4,50.0,0.56666666,1.7666667,249,2026,ncaam
5106255,Demarion,Watson,Demarion Watson,Demarion Watson,D. Watson,225.0,225 lbs,79,"6' 7""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106255.png,0,Guard,G,4,Senior,SR,True,Active,7,15,6,0,3.0,1.4,1.2,0,0,12,7.3,0,0,23,114,22.8,4.6,2.4,0,0.0,0,0.0,0.8333333,0.5,0.5833333,0,23,0,1.0,5,5,0,0,5,0.35,20,7,34.9999994039536,0.333333,33.3333343267441,6,2,8,18,6,12,2,6,-1,0,0,1.4,4.0,0.4,2.4,0.4,1.2,3.6,1.6,1.0,1.2,0.61538464,20.4,4.08,0.88235295,0,1.20000004768372,16.666667163372,5,8,1.0,1.6,62.5,0.4,0.9,249,2026,ncaam
5313378,Buddy,Hammer Jr.,Buddy Hammer Jr.,Buddy Hammer Jr.,B. Hammer Jr.,210.0,210 lbs,79,"6' 7""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5313378.png,23,Forward,F,3,Junior,JR,True,Active,1,3,0,0,0.75,0.25,0.0,0,0,11,2.075,0,0,6,46,11.5,1.5,2.75,0,0.0,0,0.0,2.0,0.0,0.09090909,0,6,0,0.0,4,0,0,0,2,0.333333,3,1,33.3333343267441,0.5,50.0,2,1,3,3,1,1,0,1,-1,0,0,0.25,0.75,0.0,0.25,0.25,0.5,0.75,0.75,0.5,0.25,1.5,1.8,0.45,1.6666667,0,0.25,0.0,1,2,0.25,0.5,50.0,0.33333334,1.0,249,2026,ncaam
5106682,Josiah,Shackleford,Josiah Shackleford,Josiah Shackleford,J. Shackleford,225.0,225 lbs,81,"6' 9""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106682.png,8,Forward,F,4,Senior,SR,True,Active,2,7,2,0,1.4,0.4,0.4,0,0,12,1.77,0,0,10,64,12.8,2.0,2.4,0,0.0,0,0.0,0.0,0.16666667,0.16666667,0,10,0,0.4,5,0,0,0,0,0.521739,23,12,52.173912525177,0.333333,33.3333343267441,12,4,3,28,5,0,0,5,-1,0,0,2.4,4.6,0.0,0.0,0.8,2.4,5.6,0.6,0.0,1.0,0.27272728,29.8,5.96,0.93959737,0,1.0,0.0,12,23,2.4,4.6,52.173912525177,0.5217391,1.2173913,249,2026,ncaam
5313377,Curtis,Stinson Jr.,Curtis Stinson Jr.,Curtis Stinson Jr.,C. Stinson Jr.,,,77,"6' 5""",https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5313377.png,11,Guard,G,1,Freshman,FR,True,Active,0,3,2,0,0.75,0.0,0.5,0,0,1,17.924,0,0,4,41,10.25,1.0,0.25,0,0.0,0,0.0,0.0,2.0,0.0,0,4,0,0.0,4,0,0,0,7,0.454545,11,5,45.4545468091965,0.0,0.0,0,0,1,10,0,0,0,0,-1,0,0,1.25,2.75,0.0,0.0,0.0,0.0,2.5,0.25,1.75,0.0,0.16666667,10.0,2.5,1.0,0,0.0,0.0,5,11,1.25,2.75,45.4545468091965,0.45454547,0.90909094,249,2026,ncaam
