game_id,season,game_date,athlete_id,athlete_display_name,team_id,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,points,starter,athlete_position_name,team_abbreviation,team_winner,league
401745783,2025,2025-03-14,5105587.0,Grant Newell,249,26.0,3.0,5.0,1.0,2.0,1.0,2.0,8.0,True,Forward,UNT,True,ncaam
401745783,2025,2025-03-14,4431824.0,Moulaye Sissoko,249,22.0,3.0,5.0,0.0,0.0,3.0,3.0,9.0,True,Forward,UNT,True,ncaam
401745783,2025,2025-03-14,5177104.0,Jasper Floyd,249,30.0,3.0,5.0,1.0,2.0,4.0,4.0,11.0,True,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,4702491.0,Atin Wright,249,31.0,7.0,16.0,3.0,11.0,7.0,7.0,24.0,True,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,4433163.0,Rondel Walker,249,16.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,True,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,5106864.0,Brenen Lorient,249,29.0,4.0,7.0,0.0,2.0,2.0,4.0,10.0,False,Forward,UNT,True,ncaam
401745783,2025,2025-03-14,5175357.0,Brock Vice,249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Center,UNT,True,ncaam
401745783,2025,2025-03-14,5240287.0,Ma'Syn Howell,249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,5106884.0,Grayson Allo,249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,4897523.0,Matthew Stone,249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,4897338.0,Johnathan Massie,249,23.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,False,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,4601284.0,Latrell Jossell,249,19.0,4.0,8.0,2.0,5.0,0.0,0.0,10.0,False,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,5240286.0,Baron Smith Jr.,249,,,,,,,,,False,Forward,UNT,True,ncaam
401745783,2025,2025-03-14,5240285.0,Tyran Mason,249,,,,,,,,,False,Guard,UNT,True,ncaam
401745783,2025,2025-03-14,5175065.0,Alex Cotton,249,,,,,,,,,False,Guard,UNT,True,ncaam
401725629,2025,2025-03-09,5105587.0,Grant Newell,249,28.0,2.0,6.0,0.0,2.0,2.0,3.0,6.0,True,Forward,UNT,False,ncaam
401725629,2025,2025-03-09,4431824.0,Moulaye Sissoko,249,29.0,2.0,6.0,0.0,0.0,1.0,2.0,5.0,True,Forward,UNT,False,ncaam
401725629,2025,2025-03-09,5177104.0,Jasper Floyd,249,30.0,4.0,9.0,0.0,2.0,2.0,2.0,10.0,True,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,4702491.0,Atin Wright,249,35.0,3.0,12.0,1.0,5.0,11.0,13.0,18.0,True,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,4433163.0,Rondel Walker,249,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,5106864.0,Brenen Lorient,249,23.0,7.0,9.0,0.0,0.0,1.0,1.0,15.0,False,Forward,UNT,False,ncaam
401725629,2025,2025-03-09,4897338.0,Johnathan Massie,249,18.0,1.0,4.0,0.0,1.0,2.0,2.0,4.0,False,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,4601284.0,Latrell Jossell,249,17.0,1.0,5.0,1.0,2.0,0.0,0.0,3.0,False,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,5240286.0,Baron Smith Jr.,249,,,,,,,,,False,Forward,UNT,False,ncaam
401725629,2025,2025-03-09,5175357.0,Brock Vice,249,,,,,,,,,False,Center,UNT,False,ncaam
401725629,2025,2025-03-09,5240287.0,Ma'Syn Howell,249,,,,,,,,,False,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,5240285.0,Tyran Mason,249,,,,,,,,,False,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,5175065.0,Alex Cotton,249,,,,,,,,,False,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,5106884.0,Grayson Allo,249,,,,,,,,,False,Guard,UNT,False,ncaam
401725629,2025,2025-03-09,4897523.0,Matthew Stone,249,,,,,,,,,False,Guard,UNT,False,ncaam
401725622,2025,2025-03-06,5105587.0,Grant Newell,249,28.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,True,Forward,UNT,True,ncaam
401725622,2025,2025-03-06,4431824.0,Moulaye Sissoko,249,25.0,1.0,2.0,0.0,0.0,2.0,3.0,4.0,True,Forward,UNT,True,ncaam
401725622,2025,2025-03-06,5177104.0,Jasper Floyd,249,31.0,1.0,5.0,0.0,1.0,2.0,3.0,4.0,True,Guard,UNT,True,ncaam
401725622,2025,2025-03-06,4702491.0,Atin Wright,249,32.0,12.0,17.0,8.0,12.0,10.0,10.0,42.0,True,Guard,UNT,True,ncaam
401725622,2025,2025-03-06,4433163.0,Rondel Walker,249,26.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,True,Guard,UNT,True,ncaam
401725622,2025,2025-03-06,5106864.0,Brenen Lorient,249,27.0,4.0,7.0,1.0,1.0,3.0,5.0,12.0,False,Forward,UNT,True,ncaam
401725622,2025,2025-03-06,5175357.0,Brock Vice,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Center,UNT,True,ncaam
